id,fecha,hora,ruta,operador,nro_vuelo,tipo_aeronave,registro,cn_ln,total_a_bordo,cantidad_de_fallecidos,fallecidos_en_tierra
1323,1952-04-10,00:00:00,"Agartala, India",Kalinga Airlines,NaN,Douglas C-47A,VT-DFN,13628,4.0,4.0,0.0
1324,1952-04-11,12:20:00,"North of San Juan, Puerto Rico",Pan American World Airways,526A,Douglas DC-4,N88899,10503,69.0,52.0,0.0
1325,1952-04-18,03:34:00,"Near Whittier, California",North Continental Airlines (Robin Airlines),416W,Curtiss C-46F-1CU,N8404C,22466,29.0,29.0,0.0
1326,1952-04-29,04:40:00,"Near Carolina, Brazil",Pan American World Airways,202,Boeing 377-10-26 Stratocruiser,N1039V,15939/12,50.0,50.0,0.0
1327,1952-04-30,00:00:00,"Delhi,  India",Deccan Airways,NaN,Douglas DC-3,VT-AUN,13405,9.0,9.0,0.0
1328,1952-05-05,00:00:00,"Near Skien, Norway",Fred Olsen Flyveselskap,NaN,Douglas C-47A,LN-NAD,12148,29.0,11.0,0.0
1329,1952-05-09,00:00:00,"Ipoh, Malaysia",Garuda Indonesia Airlines,NaN,Douglas DC-3,PK-DPA,42954,17.0,17.0,0.0
1330,1952-05-13,00:00:00,"Sao Paulo, Brazil",VASP,NaN,Douglas DC-3,PP-SPM,16894/34151,22.0,5.0,0.0
1331,1952-05-24,00:00:00,"Near Manaus, Brazil",Loide Aéreo Nacional,NaN,Curtiss C-46A,PP-LDE,446,6.0,6.0,0.0
1332,1952-05-26,08:45:00,"Near Atar, Mauritania",British Overseas Airways,251,Handley Page HP-81 Hermes IV,G-ALDN,HP-81/15,18.0,1.0,0.0
1333,1952-06-13,11:29:00,Baltic Sea,Swedish Air Force,NaN,Douglas DC-3,79001,9001,8.0,8.0,0.0
1334,1952-06-14,09:49:00,"Near Brighton, East Sussex, England",Morton Air Services,NaN,Airspeed AS-65 Consul,G-AHFT,2593,8.0,6.0,
1335,1952-06-24,00:00:00,"Lakenheath AFB, England",Military - U.S. Air Force,NaN,Boeing B-50 Superfortress,NaN,NaN,11.0,11.0,0.0
1336,1952-06-25,00:00:00,"Off Northumberland, North Sea",Military - Royal Air Force,NaN,Avro Shackleton MR-1,VP261,NaN,13.0,11.0,0.0
1337,1952-07-18,00:00:00,"Whiting Field, near Milton, Florida",Military - Navy,NaN,Fairchild packet (C119 flying boxcar),NaN,NaN,46.0,41.0,0.0
1338,1952-07-27,11:46:00,"Off Rio de Janeiro, Brazil",Pan American World Airways,201,Boeing 377 Stratocruiser,N1030V,15939,27.0,1.0,0.0
1339,1952-08-12,00:00:00,"Palmeira de Goias, Brazil",Transportes Areos Nacionales,NaN,Douglas DC-3,PP-ANH,20187,24.0,24.0,0.0
1340,1952-08-21,01:00:00,"Off Trapani, Italy",Airwork,NaN,Handley Page HP-81 Hermes 4A,G-ALDF,HP-81/7,57.0,7.0,0.0
1341,1952-08-26,07:00:00,"Near Khewra, West Pakistan",Military - Pakistan Air Force,NaN,Bristol 170 Freighter,G783,NaN,18.0,18.0,0.0
1342,1952-08-29,21:05:00,"Kosti, Sudan",Phoenix Airlines,NaN,Douglas DC-2-115B,ZS-DFW,1322,4.0,2.0,0.0
1343,1952-09-06,15:40:00,"Near Farnsborough, England",Private - de Havilland Aircraft,NaN,de Havilland 110,WG235,NaN,1.0,1.0,29.0
1344,1952-09-10,00:00:00,"San Blas, Panama",SAM Colombia,NaN,Curtiss C-46,NaN,NaN,46.0,46.0,0.0
1345,1952-09-15,00:00:00,"Wadi Halfa, Sudan",Kalinga Airlines,NaN,Douglas C-47A,VT-CGB,9945,3.0,3.0,0.0
1346,1952-10-05,16:02:00,"Skvoritsy, Russia",Aeroflot,376,Ilyushin IL-12,L1328,30054,21.0,21.0,0.0
1347,1952-10-08,00:00:00,"Off Tarbat Ness, Scotland",Military - Royal Air Force,NaN,Avro Shackleton MR-1,VP286,NaN,14.0,14.0,0.0
1348,1952-10-14,00:00:00,"San Fransisco do Paula, Brazil",Aero Brasil,NaN,Douglas DC-3,PP-AXJ,6177,28.0,14.0,0.0
1349,1952-10-16,00:00:00,"Off Kangnung, South Korea",Military - U.S. Air Force,NaN,Curtiss-Wright C-46D-CU,44-77538,32934,25.0,25.0,0.0
1350,1952-10-29,08:30:00,"Near Flagstaff, Arizona",Military - U.S. Air Force,NaN,Boeing KC-97G Stratofreighter,52-2711,16733,16.0,16.0,0.0
1351,1952-11-06,00:00:00,"Lake Chad, Chad",Union Aeromaritime de Transport,NaN,Douglas C-54B-1-DC,F-BFVO,10498,6.0,5.0,0.0
1352,1952-11-07,03:00:00,"Near Summit, Alaska",Military - U.S. Air Force,NaN,Fairchild C-119C,51-2560A,10518,19.0,19.0,0.0
1353,1952-11-14,14:45:00,"Near Seoul, South Korea",Military - U.S. Air Force,NaN,Fairchild C-119C,51-2551A,NaN,44.0,44.0,0.0
1354,1952-11-15,00:00:00,"Near Anchorage, Alaska",Military - U.S. Air Force,NaN,Fairchild C-119C,51-2570,10528,20.0,20.0,0.0
1355,1952-11-17,00:00:00,"Shepard, Montana",Military - U.S. Air Force,NaN,Fairchild C-119C-23-FA Flying Boxcar,NaN,NaN,16.0,9.0,0.0
1356,1952-11-22,20:15:00,"Mount Gannett, Alaska",Military - U.S. Air Force,NaN,Douglas C-124A Globemaster,51-107A,464096,52.0,52.0,0.0
1357,1952-11-28,00:50:00,"Near Tacoma, Washington",Military - U.S. Air Force,NaN,Douglas C-54G (DC-4),NaN,NaN,38.0,37.0,0.0
1358,1952-12-06,00:00:00,"Near Sofia, Bugaria",TABSO,NaN,Lisunov Li-2,NaN,NaN,18.0,18.0,0.0
1359,1952-12-06,04:40:00,"Off Bermuda-Kindley Field, Bermuda",Cubana de Aviacion,NaN,Douglas DC-4,CU-T397,10319,41.0,37.0,0.0
1360,1952-12-20,06:30:00,"Moses Lake, Washington",Military - U.S. Air Force,NaN,Douglas C-124A Globemaster,50-100,43238,115.0,87.0,0.0
1361,1952-12-21,00:00:00,"Off Miami, Florida",Rutas Aéreas Nacionales SA,NaN,Curtiss C-46D,YV-C-ARC,33486,3.0,3.0,0.0
1362,1952-12-22,00:00:00,"Damascus, Syria",Syrian Air,NaN,Douglas DC-3,NaN,NaN,,9.0,
1363,1952-12-25,00:00:00,"Off Caracas, Venezuela",Avensa,NaN,Douglas DC-3,YV-C-AVX,7391,5.0,3.0,0.0
1364,1952-12-25,00:00:00,"Tehran, Iran",Iran Air,NaN,Douglas DC-3,EP-ACJ,9692,29.0,27.0,0.0
1365,1952-12-30,00:00:00,"Chinmen Island, Taiwan",Philippine Air Lines,NaN,Douglas DC-3,PI-C38,NaN,10.0,2.0,0.0
1366,1953-01-05,21:39:00,"Belfast, Northern Ireland",British European Airways,NaN,Vickers Viking 610-1B,G-AJDL,262,35.0,27.0,0.0
1367,1953-01-07,20:55:00,"Issaquah, Washington",Flying Tiger Line,841,Douglas C-54B-10-DO,N86574,18350,7.0,7.0,0.0
1368,1953-01-07,04:12:00,"Fish Haven, Idaho",Associated Air Transport,1-6-6A,Curtiss C-46,N1648M,22395,40.0,40.0,0.0
1369,1953-01-15,04:48:00,"25 nm off Agrigento, Italy",Military -Royal Air Force,-,Vickers Valetta Mk1 / Avero Lancaster,VX562 / TX270,NaN,26.0,26.0,0.0
1370,1953-01-26,11:44:00,"Sinnai, Sardinia, Italy",Linee Aeree Italiane,NaN,Douglas DC-3,I-LAIL,4308,19.0,19.0,0.0
1371,1953-02-02,05:30:00,"Off Newfoundland, Canada",Lancashire Aircraft Corporation (Skyways),NaN,Avro 685 York 1,G-AHFA,1304,39.0,39.0,0.0
1372,1953-02-03,00:00:00,"Lai Chau, Vietnam",Air Outremer,NaN,Douglas C-47B-15-DK,F-OAFR,15283/26728,18.0,18.0,0.0
1373,1953-02-07,10:28:00,"Bordeaux, France",UTA,NaN,Douglas C-54A-5-DC,F-BFGR,10290,19.0,9.0,0.0
1374,1953-02-09,19:00:00,"Cairo, Egypt",Military - Egyptian Air Force,NaN,Curtiss-Wright C-46,1001,NaN,40.0,29.0,0.0
1375,1953-02-14,17:10:00,"Off Mobile, Alabama",National Airlines,470,Douglas DC-6,N90893,43057/73,46.0,46.0,0.0
1376,1953-03-03,03:35:00,"Karachi, Pakistan",Canadian Pacific Air Lines,NaN,de Havilland DH106 Comet 1A,CF-CUN,06014,11.0,11.0,0.0
1377,1953-03-04,01:50:00,"Windsor Locks, Connecticut",Slick Airways,162,Curtiss C-46F,N4717N,22400,2.0,2.0,0.0
1378,1953-03-14,00:00:00,"Kalasahar, India",Orient Airways,NaN,Convair CV-240-7,AP-AEG,082,16.0,16.0,0.0
1379,1953-03-17,00:00:00,"Off Da Nang, Vietnam",Aigle Azur,NaN,Douglas DC-3,F-BEFG,19105,8.0,8.0,0.0
1380,1953-03-18,04:10:00,"Random Island, Newfoundland",Military - U.S. Air Force,NaN,Convair RB-36H,51-13721A,NaN,23.0,23.0,0.0
1381,1953-03-18,19:51:00,"Stephenville, Newfoundland",u.s. Air Force,NaN,Boeing B-29 Superfortress,44-69982,10814,10.0,10.0,0.0
1382,1953-03-20,18:38:00,"Alvarado, California",Transocean Air Lines,942,Douglas DC-4  (C-54-10-DO),N88942,36076,35.0,35.0,0.0
1383,1953-03-27,00:00:00,"Itapebi, Brazil",Transportes Aéreos Salvador,NaN,de Havilland DH-114 Heron 1B,PP-SLG,14004,14.0,14.0,0.0
1384,1953-03-29,00:00:00,"Mtara, Tanganyika",Central African Airways,NaN,Vickers 616 Viking 1B,VP-YEY,168,13.0,13.0,0.0
1385,1953-04-10,00:00:00,"Miandivazo, Madagascar",Air France,NaN,Junkers JU-5/-3m,F-BALE,090,15.0,4.0,0.0
1386,1953-04-10,00:00:00,"Near Anchieta Island, Brazil",REAL,NaN,Doublas Dc-3,NaN,NaN,,26.0,
1387,1953-04-10,00:00:00,"Off Kingston, Jamaica",Caribbean International Airways,NaN,Lockheed 18-56 LodeStar,VP-JBC,2568,13.0,13.0,0.0
1388,1953-04-14,00:00:00,"Near Guwahati, India",Airways,NaN,Douglas C-47A,VT-AUJ,19149,3.0,3.0,0.0
1389,1953-04-14,02:22:00,"Selleck, Washington",Miami Airlines,NaN,Douglas DC-3 (C-47-DL),N65743,20432,25.0,7.0,0.0
1390,1953-04-16,00:00:00,"NW of Hanoi, Vietnam",Aigle Azur,NaN,Douglas DC-3,F-BESS,19498,30.0,30.0,0.0
1391,1953-04-20,23:08:00,"San Francisco Bay, California",Western Airlines,636,Douglas DC-6B,N91303,43823,10.0,8.0,0.0
1392,1953-05-02,16:35:00,"Near Jalalogori, West Bengal, India",British Overseas Airways,783/057,de Havilland DH106 Comet 1,G-ALYV,06008,43.0,43.0,0.0
1393,1953-05-07,00:00:00,"Off Hartland Point, England",Military - Royal Air Force,NaN,Vickers Valetta T-3,WG258,506,10.0,10.0,0.0
1394,1953-05-09,01:28:00,"New Delhi, India",Air India,NaN,Douglas DC-3,VT-AUD,13716,18.0,18.0,0.0
1395,1953-05-11,00:00:00,"Prince Rupert, BC, Canada",Canadian Pacific Air Lines,NaN,Consolidated PBY-5A Catalina,CF-CRV,21984,19.0,2.0,0.0
1396,1953-05-17,14:15:00,"Near Marshall, Texas",Delta Air Lines,318,Douglas DC-3,N28345,2224,20.0,19.0,0.0
1397,1953-05-24,04:18:00,"St. Louis, Missouri",Meteor Air,NaN,Douglas DC-3,N53596,20433,7.0,6.0,
1398,1953-05-25,15:30:00,"Amsterdam, Netherlands",KLM Royal Dutch Airlines,NaN,Convair CV-240-4,PH-TEI,125,34.0,0.0,2.0
1399,1953-05-27,03:50:00,"Goose Wade, Russia",Aeroflot,18,Li-2 / Li-2T,CCCP-L4534,18429005,20.0,20.0,0.0
1400,1953-06-14,16:35:00,"Near  Zugdidi, Georgia",Aeroflot,229,Ilyushin IL-2,CCCP-L1375,30103,18.0,18.0,0.0
1401,1953-06-15,00:00:00,"San Ramon Mtns., Costa Rica",LACSA,NaN,Douglas DC-3,TI-1002,14633/26078,17.0,9.0,0.0
